Smart mellanmål som blir sötare ju mognare den är. Annars är bananen också god att tillaga, t ex stekt i smör, sirap och kardemumma med glass till. Bananerna kan variera i färg från helt gröna till helt gula;Banana;20,95
Friskt söt och lite kryddig smak. Druvan ska vara fast med slätt och spänstigt skal. Goda att äta som de är eller i fruktsallad, desserter och bakverk.;Grapes;40,95
Spänstiga buketter med mild och fin kålsmak. Kokt som tillbehör till kött och fisk, eller ugnsgratinerad som en rätt för sig. Prova också att grilla!;Broccoli;19,95
Något mildare och sötare smak än gul lök och passar därför bra i sallader. Prova även i varm mat eller lägg in och koka marmelad på!;Red Onion;14,95
Knapriga rötter med aningen söt smak som förstärks när de tillagas. Knapra som snacks, med dipp eller i varm mat. Prova gärna till marmelad!;Carrot;22,95
En allround brukstomat som kan variera lite smakmässigt beroende på sort. Passar till sallader, skaldjursrätter eller som smörgåspålägg med ost.;Tomato;27,95
Isbergssallad är neutral i smaken och passar som bas i sallader, på picknickmackan, hamburgaren eller som sallad till tacos.;Iceberg Lettuce;28,95
Saftiga och söta med en frisk syrlighet. Färgen på skalet visar inte hur mogen frukten är, en grön apelsin kan vara lika söt som en helorange.;Orange;20,95
ICA Päron Conference är sött och påminner om melon i smaken. Passar att äta som det är, till efterrätter, bakning eller till ostbrickan.;Pear;37,95
Zero calori vegetable;Celery;27,95
